initial_x,initial_y,yield_curve_pc1_risk_factor,yield_curve_pc2_risk_factor,yield_curve_pc3_risk_factor,stock_vola_risk_factor,credit_default_rf,mortality_risk_factor,base_lapse_risk_factor,mass_lapse_risk_factor
-0.0062663963119912,0.0093715981602279,-0.0632843479823668,-0.0144728506027762,0.0156997233342185,0.0281724232811279,0.91161429561299,1.04382127054083,1.40995248364015,0.925043138146209
0.0120389803677621,-0.0143653883410369,0.0522346586493375,0.0389461744499071,0.0227383795231141,0.116476620555696,0.996134632310847,1.02155737921877,1.16861418697632,0.984763726901391
0.0028273422895162,-0.006101826420296,-0.0677639471426417,-0.0241726801483731,-0.0174189201270969,-0.0762092522692766,0.931337799037051,1.0864343151567,0.940757332111399,0.905726287371929
0.0155979037740056,-0.0209740813243997,0.0904013449479228,0.0106269720931787,0.0026892212229741,0.0133120421145317,0.932162480430045,0.887793679134052,0.839128923272875,0.996901704190204
0.0035458930786063,-0.0045083081081984,-0.0496391199137944,0.0022061238739806,0.0041087274776875,0.0140499038432851,0.950418584012669,0.988660910262728,1.03998790371226,0.921607838242283
-0.0068658554238991,0.0077211428448135,-0.0973455190591143,-0.0100370477289559,-0.0030292452799554,-0.0182027244831385,0.994237456734093,1.02511247483074,0.731483869140805,0.875997302314428
-0.00829526235427,0.0122493582479259,-0.0196366229746766,0.0104786589933503,-0.0241775043804553,-0.0130556526470014,0.97388311864657,0.966551222029244,1.14296309175101,0.928352817107123
0.0019189059794599,-0.0029353548978654,-0.0514902461760081,-0.0147679926160086,-0.0041378567696884,-0.132475726484553,0.772882073276724,0.993095273920502,0.888457056420432,0.915474276573714
-0.0015660199075631,0.0038579140219695,0.0928334950911805,-0.0121604048383691,-0.0024342267717802,0.018313153188873,0.991484495020717,1.05287362693501,1.12761584091156,0.981754843904412
-0.0138553031510066,0.0159151347481715,-0.102691075692059,0.0025441050063225,0.00668371999353,-0.0167231127793209,0.987019824104781,0.952741983195651,0.782409466062679,0.845527684577058
0.0070701490686679,-0.0068380236557714,-0.0580577190194795,0.0048604409950856,-0.0138968110710168,-0.0249750425915369,0.918971612247098,1.00178757056099,1.19538172816109,0.94605773488383
-0.0095648101596467,0.0116721185774364,0.0946290554551696,0.0146396911543852,0.0266161974081057,0.0899187854670529,0.995500070080171,1.09609751047026,1.31055001316492,0.926464694120479
0.0222351977209476,-0.0270340605707215,-0.0841579374130944,0.0114807221142574,-0.0265940649351199,-0.0344499848067987,0.984769398932541,0.954320081162208,0.892535707476197,0.976293115014605
