year,anomaly_c,lower_c,upper_c
1995,0.7350925,0.70191336,0.76827174
1996,0.63479936,0.6025453,0.6670534
1997,0.7790312,0.74655515,0.8115073
1998,0.93592083,0.9028746,0.968967
1999,0.68199766,0.64938253,0.7146128
2000,0.6894687,0.6567287,0.7222087
2001,0.8474103,0.8136172,0.88120335
2002,0.90111876,0.87089485,0.93134266
2003,0.9022393,0.8687722,0.9357065
2004,0.826385,0.79601645,0.8567535
2005,0.9662671,0.9350287,0.99750555
2006,0.93028426,0.898975,0.9615935
2007,0.949474,0.9175324,0.9814156
2008,0.82314956,0.7906812,0.85561794
2009,0.9539675,0.9231017,0.9848333
2010,1.0376073,1.0069752,1.0682396
2011,0.8965769,0.8656566,0.9274972
2012,0.93547153,0.9037727,0.9671704
2013,0.98260313,0.94711965,1.0180867
2014,1.031819,0.9993273,1.0643106
2015,1.1819104,1.148253,1.2155677
2016,1.2887791,1.2575042,1.3200539
2017,1.2004167,1.1683854,1.2324479
2018,1.1171584,1.0857053,1.1486115
2019,1.2513031,1.2179996,1.2846066
2020,1.2802037,1.2460152,1.3143922
